run number,85th percentile,99th percentile
1,2.173815340879371,6.02452327176394
2,1.272501326226,4.854831822932794
3,0.807583008712939,4.528522190937367
4,0.5215720145881414,4.213096025850846
5,0.3766569965656456,3.972646074790473
6,0.3140089092789375,3.844740935967708
7,0.295376928924528,3.728681487027088
8,0.26777658601285154,3.418252033728821
9,0.2429537899668567,3.3450565326553834
10,0.225011748564641,3.290493815370518
11,0.21821261534562358,3.1262205635916627
12,0.21340928531129,3.0483243835558
13,0.21362104302540502,2.978837500899991
14,0.20677941376191386,2.794482956761153
15,0.19429661954903843,2.6981543505657375
16,0.18908025975303194,2.619953321760035
17,0.1884080301450712,2.604114262517094
18,0.1854804311219187,2.537124793438028
19,0.18068667456888995,2.4740620223769922
20,0.1798399031988635,2.451168749511615
21,0.1777179082087444,2.4258158260885088
22,0.17474088417579797,2.3938340645334066
23,0.1721899779975,2.3347903669322383
24,0.17138828397023645,2.3169106964896247
25,0.1677575825747525,2.3117322549710795
26,0.16436566245418044,2.309124837838976
27,0.1631496583787984,2.263391037488036
28,0.163403888290638,2.2317553572124735
29,0.15978492699078192,2.175589630752868
30,0.16092779647890293,2.195998419251759
31,0.1600960051916565,2.176967626214134
32,0.157607853425199,2.143353037820635
33,0.15586112001596097,2.1305554235790596
34,0.15612970487958946,2.1103328353435407
35,0.15541266828691394,2.1002759153455584
36,0.15532598929772,2.0735798274615
37,0.153838759616024,2.0502959531681446
38,0.15220261935556095,2.017428113276678
39,0.1529982997998947,2.032425508031017
40,0.15207293065475,2.017842245250065
41,0.15048882868761607,2.0042526616279717
42,0.14949248804360948,1.9640150754392927
43,0.149649380626815,1.9540754649397716
44,0.14865700506212698,1.9348828349113334
45,0.14833527553073192,1.9272924100184754
46,0.14734174500211,1.9119898943070848
47,0.14625801766866794,1.9096058683845374
48,0.147469942072475,1.9093679034890498
49,0.147121033409225,1.90579354422395
50,0.1463967708699999,1.8916749649536369
51,0.146188456186404,1.8699221500436136
52,0.14596304510946337,1.861835871500377
53,0.14444563783023504,1.8473260613306899
54,0.14356573030101039,1.8352190512484048
55,0.14315597441513597,1.8333285244930275
56,0.14318202472737349,1.8194360471227264
57,0.14181005331223892,1.8042782804503275
58,0.1404868692495575,1.7738241396053314
59,0.13988081974225,1.7603329284269669
60,0.1389854898813525,1.7570217534955943
61,0.13959693344879975,1.7527412302278171
62,0.14019040769585195,1.752637352843723
63,0.14004505855598248,1.7496032932737764
64,0.13922017853645297,1.740919744618405
65,0.14001181202832,1.7488004939277
66,0.13921094334236947,1.740959793016068
67,0.1395637830286675,1.7427772293936692
68,0.1400140630220605,1.734118365382725
69,0.1402296790761075,1.734358553040489
70,0.13988614651141001,1.7339263242496927
71,0.14023990659533997,1.739324913547055
72,0.1404253013633375,1.742376199983625
73,0.14027813755085608,1.7348334693964562
74,0.1404859679023375,1.7347887782689912
75,0.14074568870667495,1.7343709460480667
76,0.14087586280850242,1.7332775145864734
77,0.14087111414749248,1.7229363211828597
78,0.14068790688355998,1.7139530878259839
79,0.14065689928432,1.702399340609275
80,0.14017114767489,1.6866666509328312
81,0.14011483807791977,1.6858243954089587
82,0.1390424132287305,1.6774913674254264
83,0.1388737757421839,1.6643352884694358
84,0.13906599562006,1.6530411988092175
85,0.13882163425632812,1.6469863516665904
86,0.13949584212605398,1.6575830132882245
87,0.1401810293359264,1.6650876132402908
88,0.14029874642340054,1.6629112396289387
89,0.14013249426141977,1.6548526261838348
90,0.1403524641898904,1.6685329585045454
91,0.140012341673906,1.6640914923541845
92,0.14003841091778,1.647566077530621
93,0.13978615414280976,1.646132697662825
94,0.13976525114160976,1.6415806280887197
95,0.1398763206277994,1.646132697662825
